"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4981","should have a clickable login button","firefox","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","4789","test","chromium","2026-03-12","passed","2026-03-12","","abcd.spec.js","",""
"","17459","test4","webkit","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","4969","test3","webkit","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","2407","test2","chromium","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","3636","test6","chromium","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","4226","test2","firefox","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","13806","test4","chromium","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","3079","test5","webkit","2026-03-12","passed","2026-03-12","","abcd.spec.js","",""
"","30615","test","webkit","2026-03-12","broken","2026-03-12","","example.spec.js","",""
"","3314","test","chromium","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","2534","should take a screenshot of the login button","webkit","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","4866","should take a screenshot of the login button","firefox","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","0","has title","firefox","2026-03-12","skipped","2026-03-12","","example.spec.js","",""
"","0","get started link","firefox","2026-03-12","skipped","2026-03-12","","example.spec.js","",""
"","5045","test","firefox","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","2974","test5","chromium","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","0","has title","chromium","2026-03-12","skipped","2026-03-12","","example.spec.js","",""
"","3574","should have a clickable login button","chromium","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","2520","test3","firefox","2026-03-12","passed","2026-03-12","","abcd.spec.js","",""
"","7880","test3","firefox","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","3896","test7","webkit","2026-03-12","passed","2026-03-12","","abcd.spec.js","",""
"","2721","test7","chromium","2026-03-12","passed","2026-03-12","","abcd.spec.js","",""
"","2597","test5","chromium","2026-03-12","passed","2026-03-12","","abcd.spec.js","",""
"","3017","test5","firefox","2026-03-12","passed","2026-03-12","","abcd.spec.js","",""
"","4137","should have the title ""Login""","firefox","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","2530","should have the title ""Login""","webkit","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","3543","should take a screenshot of the login button","chromium","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","4444","test","webkit","2026-03-12","passed","2026-03-12","","abcd.spec.js","",""
"","2613","should take a screenshot of the complete page","webkit","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","4698","test5","firefox","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","3196","test2","webkit","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","4339","test","webkit","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","4817","test","firefox","2026-03-12","passed","2026-03-12","","abcd.spec.js","",""
"","3294","test7","firefox","2026-03-12","passed","2026-03-12","","abcd.spec.js","",""
"","4755","test6","webkit","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","3542","should have the title ""Login""","chromium","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","2468","test3","webkit","2026-03-12","passed","2026-03-12","","abcd.spec.js","",""
"","6188","test","firefox","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","2048","test3","chromium","2026-03-12","passed","2026-03-12","","abcd.spec.js","",""
"","4299","test","chromium","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","4293","test5","webkit","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","3921","test3","chromium","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","0","get started link","webkit","2026-03-12","skipped","2026-03-12","","example.spec.js","",""
"","2558","should have a clickable login button","webkit","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","2748","test1","webkit","2026-03-12","passed","2026-03-12","","abcd.spec.js","",""
"","0","get started link","chromium","2026-03-12","skipped","2026-03-12","","example.spec.js","",""
"","4688","test6","firefox","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","0","has title","webkit","2026-03-12","skipped","2026-03-12","","example.spec.js","",""
"","4425","test1","chromium","2026-03-12","passed","2026-03-12","","abcd.spec.js","",""
"","3637","test1","firefox","2026-03-12","passed","2026-03-12","","abcd.spec.js","",""
"","15931","test4","firefox","2026-03-12","passed","2026-03-12","","uitest.spec.js","",""
"","3820","should take a screenshot of the complete page","firefox","2026-03-12","failed","2026-03-12","","example.spec.js","",""
"","3592","should take a screenshot of the complete page","chromium","2026-03-12","failed","2026-03-12","","example.spec.js","",""
