"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","5. Hover over elements","firefox","2026-03-13","skipped","2026-03-13","Intermediate UI Components & Alerts - DemoQA","democa.spec.js","",""
"","0","get started link","firefox","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
"","743","Test 1 running in parallel","webkit","2026-03-13","passed","2026-03-13","Parallel Execution and Fixtures","parallel-fixtures.spec.js","",""
"","949","1. Handle JS Alert - Accept","chromium","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","1297","6. Drag and Drop","firefox","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","0","has title","webkit","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
"","30205","test","chromium","2026-03-13","broken","2026-03-13","","example.spec.js","",""
"","644","test2","chromium","2026-03-13","passed","2026-03-13","","uitest.spec.js","",""
"","1630","test3","webkit","2026-03-13","passed","2026-03-13","","uitest.spec.js","",""
"","1573","1. Handle JS Alert - Accept","webkit","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","1092","should take a screenshot of the complete page","chromium","2026-03-13","failed","2026-03-13","","example.spec.js","",""
"","30027","6. Drag and Drop","webkit","2026-03-13","broken","2026-03-13","Intermediate UI Components & Alerts - DemoQA","democa.spec.js","",""
"","0","4. Interact with IFrame","webkit","2026-03-13","skipped","2026-03-13","Intermediate UI Components & Alerts - DemoQA","democa.spec.js","",""
"","30038","8. Handle Checkboxes","firefox","2026-03-13","broken","2026-03-13","Intermediate UI Components & Alerts - DemoQA","democa.spec.js","",""
"","1291","5. Hover over elements","firefox","2026-03-13","passed","2026-03-13","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","0","has title","firefox","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
"","30023","7. Select from Dropdown","webkit","2026-03-13","broken","2026-03-13","Intermediate UI Components & Alerts - DemoQA","democa.spec.js","",""
